CASEID,RESPONSE,RESIDUAL,TOTAL_INDEX_CRIME_RATES_PER_100K,PERCENT_HISPANIC_FEMALE,PERCENT_WHITE_MALE,PERCENT_NATIVE_HAWAIIN_FEMALE,PERCENT_OF_PARAPHERNALIA_DRUG_ARRESTS,PERCENT_NEEDLE_SYRINGE_ARRESTS,PERCENT_AMERICAN_INDIAN_FEMALE,PERCENT_ASAIN_FEMALE,PERCENT_CANNABIS_ARRESTS,PERCENT_AMERICAN_INDIAN_MALE,PERCENT_BLACK_MALE,PERCENT_WHITE_FEMALE,PERCENT_CONTROLLED_SUBSTANCE_ARRESTS,PERCENT_TWO_OR_MORE_RACES_MALE,UNEMPLOYMENT_RATE,PERCENT_OF_METH_ARRESTS,PERCENT_NATIVE_HAWAIIN_MALE,POPULATION_PERCENT_MALE,PERCENT_TWO_OR_MORE_RACES_FEMALE,PERCENT_ASAIN_MALE,PERCENT_BLACK_FEMALE,PERCENT_HISPANIC_MALE,HTS_PER_100K,SEXUAL_ASSAULT_PER_100K,ARSON_PER_100K,MVT_PER_100K,BURGLARY_PER_100K,COUNTY,POPULATION,HOMOCIDES_PER_100K,BATTERY_ASSAULT_PER_100K,HTIS_PER_100K,YEAR,THEFT_PER_100K,ROBBERY_PER_100K
384,1309.82,143.778,1453.6,0.0058953,0.481497,0.000142056,0.342105,2.63158,0.00191775,0.00298317,31.5789,0.00227289,0.00440372,0.498757,18.4211,0.00518503,6.6,13.1579,0.000355139,0.490376,0.00390653,0.00142055,0.00191775,0.00887847,0,0,6.69882,60.2894,381.833,"WHITE",14928,0,200.965,0,2016,803.859,0
385,1240.55,489.745,1730.3,0.0571039,0.479336,0.000141653,0.174419,0,0.00191232,0.00308095,47.6744,0.00265599,0.00973865,0.484259,34.8837,0.00798569,5.8,0,0.00015936,0.494493,0.00825129,0.00210709,0.00786175,0.0608577,0,38.9222,5.30757,42.4606,327.3,"WHITESIDE",56523,0,145.074,0,2016,1155.28,15.9227
386,1381.38,-24.4811,1356.9,0.082914,0.40805,0.000251334,0.321042,0.811908,0.00211527,0.0293421,42.659,0.00221842,0.058106,0.40267,23.8498,0.00938797,6,0.575101,0.000252786,0.496118,0.00933276,0.0268738,0.0601704,0.0867058,0,23.0475,13.2742,58.6398,201.009,"WILL",685541,2.9174,95.3991,0,2016,926.276,36.3217
387,1549.78,-74.4804,1475.3,0.011089,0.462671,0.000103774,0.366197,0.704225,0.00170487,0.00690841,33.8028,0.00254989,0.0272778,0.467415,16.9014,0.00824265,6.2,11.9718,0.000133424,0.497613,0.0088653,0.0046402,0.0173896,0.0145136,0,19.708,7.03859,68.9781,380.084,"WILLIAMSON",71037,1.40772,80.2399,0,2016,907.978,9.85402
388,3748.79,184.914,3933.7,0.0611994,0.408121,0.000255187,0.190821,4.22705,0.0026847,0.014252,49.6377,0.00274064,0.0632479,0.411976,26.9928,0.0135843,6.7,0.0603865,0.000258682,0.48849,0.0137626,0.01342,0.0685788,0.0629787,0.351981,71.4522,31.3263,200.277,702.555,"WINNEBAGO",284106,10.9114,706.426,0,2016,2000.31,210.485
389,921.353,-292.353,629,0.00814638,0.489117,0.00015419,0.304598,1.14943,0.00138771,0.00359777,35.6322,0.00128492,0.00354637,0.488243,31.6092,0.00611621,5.5,1.14943,0.000128492,0.497751,0.00606481,0.00334079,0.00280112,0.00973968,0,13.926,6.96298,25.5309,102.124,"WOODFORD",43085,2.32099,34.8149,0,2016,443.31,0
390,2461.46,28.8401,2490.3,0.00842057,0.465485,0.000152823,0.157088,0.766284,0.00110033,0.00537938,6.13027,0.00180332,0.0206464,0.472102,13.0268,0.0104837,3.4,64.3678,0.000122259,0.49258,0.0102545,0.00401926,0.0184305,0.00932223,0,108.872,10.7339,69.0036,363.419,"ADAMS",65214,6.13365,306.683,0,2019,1607.02,18.401
391,1294.88,-279.179,1015.7,0.00989412,0.327894,0.000867905,0,0,0.00190939,0.00190939,0,0.00260371,0.152751,0.33206,18.1818,0.0112828,6.2,81.8182,0.000867905,0.48568,0.0126714,0.00104149,0.164902,0.00867905,0,17.2147,0,17.2147,258.22,"ALEXANDER",5809,0,86.0733,0,2019,636.943,0
392,976.087,-208.587,767.5,0.0111409,0.460794,6.08791e-05,0.173333,10.6667,0.00280044,0.00243516,6.66667,0.00389626,0.0476683,0.452636,17.3333,0.00882747,3.8,48,0.000182637,0.519177,0.00718373,0.00572264,0.0157068,0.0250213,0,0,12.1832,30.4581,146.199,"BOND",16416,6.09162,48.7329,0,2019,517.788,6.09162
393,1031.94,-98.9361,933,0.109181,0.473517,0.000448229,0.235294,2.6738,0.00399671,0.00804946,27.2727,0.0038473,0.0146982,0.463581,46.5241,0.0127745,5.6,0,0.000541611,0.499925,0.0106268,0.00661139,0.0133722,0.118426,1.87723,50.6852,1.87723,48.808,137.038,"BOONE",53270,0,105.125,0,2019,572.555,15.0178
394,365.915,-196.215,169.7,0.00775312,0.439799,0.000304044,0,0,0.000760109,0.00106415,0,0.0124658,0.186531,0.34965,0,0.00592885,2.4,100,0,0.642597,0.00334448,0.00212831,0.00228033,0.0615689,0,0,0,0,30.8499,"BROWN",6483,0,15.425,0,2019,123.4,0
