County,Percent Hispanic Female,Percent Hispanic Male,Percent Two or More Races Female,Percent Two or More Races Male,Percent Native Hawaiin Female,Percent Native Hawaiin Male,Percent Asain Female,Percent Asain Male,Percent American Indian Female,Percent American Indian Male,Percent Black Female,Percent Black Male,Percent White Male,Percent White Female,Population Percent Male,YEAR,TOT_POP
EDGAR,0.667050029,0.580793560,0.437032777,0.419781484,0.005750431,0.017251294,0.212765957,0.132259919,0.132259919,0.120759057,0.310523289,0.304772858,48.211615871,50.074755607,48.826912018,2017,17390
EDGAR,0.679723502,0.570276498,0.420506912,0.455069124,0.005760369,0.023041475,0.195852535,0.144009217,0.115207373,0.138248848,0.305299539,0.345622120,48.381336406,49.919354839,49.038018433,2018,17360
EDGAR,0.751704446,0.594370957,0.495309131,0.524444962,0.005827166,0.023308665,0.209777985,0.151506322,0.110716159,0.134024824,0.273876814,0.320494144,48.330516870,49.903851757,49.000640988,2019,17161
EDWARDS,0.476117340,0.767931193,0.552910459,0.537551835,0,0,0.199662110,0.122868991,0.122868991,0.122868991,0.307172477,0.322531101,48.640761788,49.516203348,49.301182614,2015,6511
EDWARDS,0.504895961,0.810893513,0.550795594,0.566095471,0,0,0.244798042,0.137698898,0.168298654,0.122399021,0.260097919,0.290697674,48.668910649,49.541003672,49.235006120,2016,6536
EDWARDS,0.589330025,0.852977667,0.589330025,0.558312655,0,0,0.232630273,0.139578164,0.279156328,0.155086849,0.294665012,0.263647643,48.573200993,49.457196030,49.147022333,2017,6448
EDWARDS,0.657585721,0.861124158,0.641928918,0.532331298,0,0,0.250508846,0.140911226,0.297479255,0.187881635,0.266165649,0.281822452,48.677000157,49.240645060,49.303272272,2018,6387
EDWARDS,0.641125880,0.750586396,0.719311962,0.578577013,0,0,0.250195465,0.140734949,0.297107115,0.187646599,0.265832682,0.265832682,48.287724785,49.523064894,48.944487881,2019,6395
EFFINGHAM,0.888836910,1.029179580,0.409332788,0.391789954,0.023390445,0.005847611,0.286532951,0.336237647,0.128647448,0.128647448,0.190047366,0.289456757,49.035144144,49.134553535,49.827495468,2015,34202
EFFINGHAM,0.916008194,1.062335382,0.418495757,0.427275388,0.026338894,0.005853088,0.336552531,0.383377231,0.119988294,0.131694469,0.199004975,0.269242025,48.917178812,49.163008487,49.736611062,2016,34170
EFFINGHAM,0.978811945,1.090173783,0.451308502,0.454239076,0.026375172,0.005861149,0.339946664,0.334085514,0.126014711,0.137737010,0.205140228,0.301849193,48.978694722,49.057820239,49.793394485,2017,34123
EFFINGHAM,1.073695913,1.167315175,0.459319505,0.441765893,0.023404816,0.002925602,0.327667418,0.336444223,0.125800884,0.137503291,0.231122553,0.342295427,49.044790966,48.942394898,49.890289927,2018,34181
EFFINGHAM,1.105622207,1.193836744,0.446953658,0.435191720,0.020583392,0.005880969,0.335215243,0.338155728,0.120559868,0.129381322,0.264643613,0.358739120,49.047282992,48.897318278,49.914725947,2019,34008
FAYETTE,0.549101470,1.157197313,0.549101470,0.630785987,0.013614086,0.009076057,0.181521147,0.140678889,0.104374660,0.131602832,0.172445090,4.869304774,47.912506807,45.861317844,53.117625703,2015,22036
FAYETTE,0.560964302,1.140472879,0.560964302,0.611961057,0.013908206,0.009272137,0.203987019,0.152990264,0.120537784,0.134445990,0.162262401,4.200278164,48.025034771,46.379230413,52.559109875,2016,21570
FAYETTE,0.604257693,1.175978433,0.539183787,0.641442781,0.013944408,0.009296272,0.204517988,0.158036627,0.134795947,0.148740355,0.185925444,4.239100121,48.015245886,46.290787394,52.630845031,2017,21514
FAYETTE,0.575627106,1.272931486,0.510108574,0.683264695,0.014039686,0.009359790,0.210595283,0.154436541,0.140396855,0.154436541,0.210595283,4.310183452,48.132721827,46.134406589,52.779857731,2018,21368
FAYETTE,0.585864267,1.251406074,0.524934383,0.660854893,0.014060742,0.009373828,0.229658793,0.168728909,0.154668166,0.154668166,0.220284964,4.344769404,47.979940007,46.133295838,52.723097113,2019,21336
