Year,County,Population,Total Index Crime Rates per 100K,Unemployment Rate,Percent Hispanic Female,Percent Hispanic Male,Percent Two or More Races Female,Percent Two or More Races Male,Percent Native Hawaiin Female,Percent Native Hawaiin Male,Percent Asain Female,Percent Asain Male,Percent American Indian Female,Percent American Indian Male,Percent Black Female,Percent Black Male,Percent White Male,Percent White Female,Population Percent Male,HTIS per 100K,Arson per 100K,Percent of Meth Arrests,Percent Needle/Syringe Arrests,Percent Controlled Substance Arrests,HTS Per 100K,Percent of Paraphernalia Drug Arrests,Battery/Assault Per 100K,Sexual Assault Per 100k,Percent Cannabis Arrests,MVT Per 100K,Theft per 100K,Burglary per 100K,Robbery Per 100K,Homocides Per 100k
2015,SANGAMON,198997,3968.4,5.3,1.116149986,1.096039176,1.203129242,1.158885459,0.015083108,0.017094189,1.023640258,0.956771813,0.136753512,0.129211958,6.635059176,5.874870537,41.024042474,42.923005762,48.063328942,0,32.663809002,4.08719346,1.089918256,27.247956403,0.502520138,0.254087193,535.183947497,73.870460359,42.166212534,126.132554762,2358.327009955,697.49795223,138.695558224,5.527721523
2015,SCHUYLER,7330,382,5.8,0.755139141,1.244581177,0.279681163,0.293665222,0,0,0.251713047,0.083904349,0.083904349,0.097888407,0.7691232,2.9086841,49.517549993,45.993567333,52.622010908,0,13.642564802,7.843137255,0,7.843137255,0,0.392156863,40.927694407,0,45.098039216,0,286.493860846,40.927694407,0,0
2015,SCOTT,5204,249.8,5.9,0.528375734,0.72407045,0.528375734,0.469667319,0,0,0.176125245,0.058708415,0.097847358,0.136986301,0.136986301,0.273972603,48.395303327,50.176125245,48.884540117,0,0,0,0,0,0,0.5,19.215987702,0,50,19.215987702,115.295926211,96.079938509,0,0
2015,SHELBY,22048,435.4,5.8,0.522480407,0.462899308,0.37581924,0.384985563,0.013749484,0.022915807,0.183326459,0.160410651,0.082496906,0.137494844,0.109995875,0.242907558,48.884000183,49.763967185,49.470644851,0,0,4.605263158,3.947368421,21.710526316,0,0.539473684,49.891146589,4.535558781,15.789473684,27.213352685,285.740203193,68.033381713,0,0
2015,STARK,5813,929,6.6,0.799273388,0.581289737,0.653950954,0.653950954,0,0,0.326975477,0.163487738,0.12715713,0.12715713,0.38147139,0.290644868,48.356039964,49.500454133,49.009990917,0,34.405642525,5,0,25,0,0.3,68.811285051,17.202821263,40,68.811285051,619.301565457,120.419748839,0,0
2015,STEPHENSON,46435,1908,6.6,1.740825085,1.898484716,1.478059035,1.235000438,0.017517737,0.026276605,0.359113603,0.302180958,0.131383025,0.122624157,5.067005343,4.701322589,43.21625646,44.527896996,48.419024262,0,19.381931733,6.425702811,0,15.662650602,0,0.361445783,86.141918811,40.917411435,41.767068273,30.149671584,1358.888769247,340.260579304,30.149671584,2.15354797
2015,TAZEWELL,135707,1824.5,6.2,1.021578234,1.210704234,0.691724621,0.655239684,0.015636402,0.015636402,0.526425519,0.367827732,0.130303346,0.17646796,0.416970708,0.782564668,47.825051004,49.014162112,49.204777293,0,5.895053313,3.645833333,0.694444444,13.194444444,0,0.440972222,184.957297708,48.634189835,38.368055556,46.423544843,1204.801520924,323.491050572,9.579461634,0.736881664
2015,UNION,17447,1410,7.6,2.140708169,2.788706318,0.717426522,0.873640361,0.028928489,0.011571396,0.242999306,0.185142328,0.242999306,0.376070354,0.393427447,0.717426522,48.426290211,48.570932654,49.803286276,0,5.731644409,14.285714286,3.571428571,23.214285714,0,0.357142857,131.827821402,28.658222044,23.214285714,45.85315527,951.452971858,246.460709578,0,0
2015,VERMILION,79728,4397.5,7.1,2.207907035,2.580522925,1.157003916,1.143109764,0.011367942,0.017683466,0.495137047,0.367563471,0.19830744,0.17683466,6.508778578,7.107490211,41.935076418,41.976758873,49.652646204,0,18.813967489,14.482758621,0,40.689655172,0,0.172413793,529.299618704,120.409391933,27.586206897,127.934978928,2250.15051174,1230.433473811,120.409391933,0
2015,WABASH,11549,1463.3,5.6,0.868891948,1.316242257,0.516173434,0.74845148,0.008602891,0.034411562,0.438747419,0.628011012,0.111837577,0.120440468,0.283895389,0.464556091,48.563317275,48.804198211,49.836545079,0,43.29379167,6.569343066,5.109489051,8.759124088,0,0.554744526,207.810200017,0,24.087591241,17.317516668,891.852108408,303.056541692,0,0
